"","County","Rvotes","Dvotes","PctD","College","Unemployment","WhitePct","COVID_DeathRate","Income"
"1","Adams County",7362,4329,37.0284834488068,12.4,5.2,93.7932739861523,29.673590504451,53156
"2","Ashland County",3841,4801,55.5542698449433,21.1,4.8,83.8067086492739,19.2777277984835,47202
"3","Barron County",15803,9194,36.780413649638,19.9,4,95.2524091592255,17.6819025727168,54372
"4","Bayfield County",4617,6147,57.1070234113712,30.5,5.6,85.3617983506252,13.3014099494546,58065
"5","Brown County",75871,65511,46.3361672631594,29.6,3.1,87.7928646490916,38.9352163361583,65494
"6","Buffalo County",4834,2860,37.1718221991162,17.9,4.2,97.3217711610774,23.0220244033459,58407
"7","Burnett County",6462,3569,35.5797029209451,20,5.3,91.4817698196445,38.9256520046711,51519
"8","Calumet County",18156,12116,40.0237843551797,28.7,2.8,94.68146698876,27.9502485575675,80354
"9","Chippewa County",21317,13983,39.6118980169972,20.1,3.8,94.7353769061833,37.1183766896594,60713
"10","Clark County",10002,4524,31.1441553077241,11.5,3.3,97.1099097026514,48.8870995571404,54296
"11","Columbia County",16927,16410,49.2245852956175,23.2,3.1,95.3399847041646,12.1671417645832,69219
"12","Crawford County",4620,3953,46.1098798553598,17.8,4.3,95.4807513483355,6.19924369226954,51919
"13","Dane County",78800,260185,76.7541336637314,50.7,2.4,84.9190133438206,8.96295009100138,77828
"14","Dodge County",31355,16356,34.2814026115571,16.5,3,94.2292148134655,40.9840731338016,61730
"15","Door County",9752,10044,50.737522731865,32.1,3.8,96.3712592164233,32.5285528408269,64217
"16","Douglas County",10923,13218,54.7533242202063,24,4.2,92.6141367323291,2.31749710312862,55651
"17","Dunn County",13173,9897,42.8998699609883,28,3.5,94.1214071592312,2.20419679068947,61506
"18","Eau Claire County",25341,31620,55.5116658766525,31.8,3.1,91.7044129732622,23.8900674655505,64972
"19","Florence County",2133,781,26.8016472203157,18.3,4.8,96.3678696158324,186.263096623981,58270
"20","Fond du Lac County",35754,20588,36.5411238507685,22.7,2.9,93.8193282593348,22.2430683829289,65905
"21","Forest County",3285,1721,34.3787455053935,15.6,5.2,79.498000888494,122.167925366504,48964
"22","Grant County",14142,10998,43.7470167064439,23,3.2,96.4054511168569,73.873908901806,56418
"23","Green County",10169,10851,51.6222645099905,23,2.9,96.8398268398268,13.5281385281385,64319
"24","Green Lake County",7168,3344,31.8112633181126,19.3,3.9,96.3781525934542,21.1494739068366,59458
"25","Iowa County",5909,7828,56.984785615491,24.3,2.9,96.8198327561449,8.44665934622857,67390
"26","Iron County",2438,1533,38.6048854192899,20,6.1,96.0084403024442,87.9198171267804,48813
"27","Jackson County",5791,4256,42.3609037523639,14.4,3.9,88.480356537325,9.68851426633726,57247
"28","Jefferson County",27208,19904,42.2482594668025,24.8,3.1,95.9714046408475,22.4138541212,71098
"29","Juneau County",8749,4746,35.1685809559096,13.6,3.3,93.8996515157193,18.7357140180612,55787
"30","Kenosha County",44972,42193,48.4058968622727,25.7,4,87.2010662829306,52.4884849700108,66460
"31","Kewaunee County",7927,3976,33.4033436948668,19.1,3.2,97.2594695115983,44.0442399921699,65879
"32","La Crosse County",28684,37846,56.8856155117992,34.3,2.9,91.267285791757,19.4888828633406,59758
"33","Lafayette County",4821,3647,43.0680207841285,18.9,2.7,97.4557455745575,6.000600060006,59128
"34","Langlade County",7330,3704,33.5689686423781,16.5,4.2,95.1951638959821,57.3245088331857,49597
"35","Lincoln County",10017,6261,38.4629561371176,18.3,3.7,96.5788424600442,47.1133983256623,60728
"36","Manitowoc County",27218,16818,38.1914796984286,19.9,3.4,93.6212506805434,20.2580367430141,61326
"37","Marathon County",44624,30808,40.8420829356241,25.6,2.9,90.7783804498423,47.1656398313828,66092
"38","Marinette County",15304,7366,32.4922805469784,15,4.6,96.5972738537794,44.6096654275093,54404
"39","Marquette County",5719,3239,36.1576244697477,14.2,4,96.3143701040195,32.1047900346732,56790
"40","Menominee County",278,1303,82.416192283365,17.2,8,12.3353819139596,21.9490781387182,40300
"41","Milwaukee County",134357,317270,70.2504500395238,30.5,4,64.2210323074548,63.3375840359681,53505
"42","Monroe County",13775,8433,37.9728025936599,19.9,3,93.959310747411,17.2961753832184,60296
"43","Oconto County",16226,6715,29.2707379800357,16,3.6,96.0717110466649,47.4558397047192,66401
"44","Oneida County",13671,10105,42.5008411843876,27.1,4.3,95.8252563562298,39.3313667649951,62765
"45","Outagamie County",58385,47667,44.9468185418474,28.9,3,90.9902333874444,43.6437182318972,66994
"46","Ozaukee County",33912,26517,43.8812490691555,48.4,2.9,93.7895786866321,28.0203091200502,90446
"47","Pepin County",2584,1489,36.5578197888534,19.2,3.8,97.7219706326335,0,62675
"48","Pierce County",12815,9796,43.324045818407,28.2,3.4,95.7290545913833,16.3727370538429,75368
"49","Polk County",16611,9370,36.0648165967438,20.4,4.1,96.3707375008565,6.85197451065482,63910
"50","Portage County",19299,20428,51.4209479698945,32,3.3,93.8210026564178,31.0857401232126,58248
"51","Price County",5394,3032,35.983859482554,16.9,4.4,95.2213317354505,22.4702269492922,48761
"52","Racine County",54479,50159,47.93574036201,24.7,4.1,83.3371538018756,59.0899134536526,61691
"53","Richland County",4871,3995,45.0597789307467,18.9,3.2,96.6264780894969,52.1678645954092,51295
"54","Rock County",37138,46658,55.680462074562,21.8,3.7,90.3148989311557,28.1597022417572,61624
"55","Rusk County",5257,2517,32.3771546179573,15.8,4.9,96.1278036394414,7.05318098462407,49860
"56","St. Croix County",32199,23190,41.8675188214266,33.7,2.9,95.862692557919,8.82155104921323,87098
"57","Sauk County",17493,18108,50.8637397825904,23.8,4.8,95.0668818472425,6.20713199466187,63752
"58","Sawyer County",5909,4498,43.2209090035553,23.2,3.2,78.1555743447276,193.260055562266,53908
"59","Shawano County",15173,7131,31.971843615495,16.1,2.7,88.0314922125235,80.6865693537739,58982
"60","Sheboygan County",37609,27101,41.8806985010045,23.9,3.4,89.5534940176868,10.4040228888504,62108
"61","Taylor County",7657,2693,26.0193236714976,14.7,3.7,97.3209457798751,34.4098707172,52419
"62","Trempealeau County",8833,6285,41.5729593861622,19.4,3.6,96.266315895983,16.8639751762285,61687
"63","Vernon County",8218,7457,47.5725677830941,21.8,3.3,97.7353838167543,6.48887158523133,56272
"64","Vilas County",9261,5903,38.92772355579,27.1,4.3,86.4789366974544,31.5386348276639,55576
"65","Walworth County",33851,22789,40.2348163841808,28.3,3.3,95.7821465706474,37.5476566411214,64682
"66","Washburn County",6334,3867,37.9080482305656,22.3,4.1,95.381679389313,12.7226463104326,52735
"67","Washington County",60237,26650,30.6720222818143,30.7,2.9,95.4636340914771,33.0799653027919,81928
"68","Waukesha County",159649,103906,39.4247879949157,43.8,2.9,92.472006293945,31.9150515341491,91070
"69","Waupaca County",18952,9703,33.861455243413,19.1,3.3,96.8444793096686,96.0972739752893,61773
"70","Waushara County",9016,4388,32.7364965681886,15.7,4.1,95.1765331587776,20.4557542036575,55476
"71","Winnebago County",47796,44060,47.9663821633862,27.3,3,91.7914919113241,42.464821095127,59643
"72","Wood County",24308,16365,40.2355370884862,21.6,3.8,94.6889683420321,13.6988177920245,57325
